	chr1p	chr1q	chr10p	chr10q	chr11p	chr11q	chr12p	chr12q	chr13q	chr14q	chr15q	chr16p	chr16q	chr17p	chr17q	chr18p	chr18q	chr19p	chr19q	chr2p	chr2q	chr20p	chr20q	chr21p	chr21q	chr22q	chr3p	chr3q	chr4p	chr4q	chr5p	chr5q	chr6p	chr6q	chr7p	chr7q	chr8p	chr8q	chr9p	chr9q	chrXp	chrXq	chrYp	chrYq	class
S49	2.8849789225	3.7262976585	0.5908852009	-0.671058938	-1.5692408842	-0.0379298856	-1.5221611043	-2.4016639851	-5.3029723127	2.1733000642	-3.3273428195	-2.4609955306	-4.9158943211	-4.665301557	-2.6175272448	-0.8730390396	-3.4841110218	-7.0370367666	-1.6471500282	0.2753395956	-7.0920490816	5.6540282728	4.36583514	-3.2190579247	-3.4238970474	-2.1775506751	-0.317757836	-0.7788424836	-9.5112334845	-3.4330442026	15.6514514384	-4.1602217625	-4.6527304022	-11.3418435971	3.1157119232	13.1322228692	-8.4255196726	21.5599441596	-3.08018698	-3.5584891915	10.2389402514	4.2856402229	-4.9938091814	-6.8476805653	SKBr3
T1	-0.6244917462	-0.3089771285	0.4311247574	0.9328351454	-0.5533741557	1.8693428181	-0.7621260924	-2.365236369	-1.8531207058	-3.7528734097	-0.0694513938	0.1688222258	-0.4720146382	0.5862165375	-0.8796250178	-1.1454756932	-0.4791776649	1.2124079234	-0.3126762375	1.0260520125	-0.5599162556	-2.2434127752	1.4724184337	4.3309743889	7.4192793756	0.5870800041	-3.1023080155	-0.8894731535	-0.1187017532	3.1055411573	-2.5322533714	0.048198229	-1.6741086633	-0.2648299453	-0.5524799437	-2.0064831379	0.9806569942	-0.8190517612	0.8890914951	-1.0024792681	0.5776854069	0.6056213968	-0.8841349873	-0.4005374374	Trisomy21
T2 	-0.2440294201	0.4246940438	-1.2741665929	-0.366235469	-0.262483053	0.7305506544	-0.1908963013	-1.0558352551	-1.9783448851	-1.1989483818	-0.500209036	0.268153496	0.0404415448	0.5777483935	-1.6444065121	0.5296675732	-1.4782137952	-0.1043499113	-0.5916459558	-0.6480100414	-0.5601410269	-1.1912710987	-0.5187928239	3.9863040877	9.1562817792	-1.0491479439	-0.0432808381	-1.0456528415	0.3593321983	4.7348369799	-1.7863828391	-0.3373189341	-0.2496245103	-1.3389427972	-1.9083288264	-0.7808517917	-0.2679618825	-0.7930546075	0.2878177006	1.3785924777	0.1446028059	0.1160653093	-0.5936196817	-0.4134126023	Trisomy21
T03	-0.6244917462	-0.3089771285	0.4311247574	0.9328351454	-0.5533741557	1.8693428181	-0.7621260924	-2.365236369	-1.8531207058	-3.7528734097	-0.0694513938	0.1688222258	-0.4720146382	0.5862165375	-0.8796250178	-1.1454756932	-0.4791776649	1.2124079234	-0.3126762375	1.0260520125	-0.5599162556	-2.2434127752	1.4724184337	4.3309743889	7.4192793756	0.5870800041	-3.1023080155	-0.8894731535	-0.1187017532	3.1055411573	-2.5322533714	0.048198229	-1.6741086633	-0.2648299453	-0.5524799437	-2.0064831379	0.9806569942	-0.8190517612	0.8890914951	-1.0024792681	0.5776854069	0.6056213968	-0.8841349873	-0.4005374374	Trisomy21
T05	-0.2440294201	0.4246940438	-1.2741665929	-0.366235469	-0.262483053	0.7305506544	-0.1908963013	-1.0558352551	-1.9783448851	-1.1989483818	-0.500209036	0.268153496	0.0404415448	0.5777483935	-1.6444065121	0.5296675732	-1.4782137952	-0.1043499113	-0.5916459558	-0.6480100414	-0.5601410269	-1.1912710987	-0.5187928239	3.9863040877	9.1562817792	-1.0491479439	-0.0432808381	-1.0456528415	0.3593321983	4.7348369799	-1.7863828391	-0.3373189341	-0.2496245103	-1.3389427972	-1.9083288264	-0.7808517917	-0.2679618825	-0.7930546075	0.2878177006	1.3785924777	0.1446028059	0.1160653093	-0.5936196817	-0.4134126023	Trisomy21
T06	-0.0931328755	-0.093994672	-0.2756018483	-0.8146150111	-0.5095459053	1.2100122982	-1.2771664892	-2.1181156064	0.3500822396	-2.0004046467	0.3481236533	0.6593904043	0.3647078267	0.3625618778	-1.4680039329	-0.4784330453	-0.9395917754	0.1733018808	0.6865086384	-1.7440196655	-0.7163851784	-0.4609876956	-0.240532723	1.6046848306	8.3493485842	-0.935875113	-1.8506167535	-1.536027582	0.9621740843	5.0307115685	-1.2797685702	-0.4783803068	-1.0165344777	-0.7693123781	-0.5491476096	-1.2359970373	0.5235403669	-0.4142008634	-0.0334996957	-0.388183604	0.3381163171	0.131836916	-0.7309448326	-0.4430623391	Trisomy21
T07	-1.0045664737	0.1697577766	-0.5517578635	-0.6627389396	-1.0097003391	1.4894816013	-0.1986431996	0.1312416623	-0.9228977097	-2.1854762176	0.8522657996	-0.2204287628	0.3285445075	0.655636813	-1.142935115	-1.0620237142	-0.8230210053	1.6329599922	1.0580463979	-1.8163625681	-1.9759774941	0.0616437513	1.0213195499	1.0176449367	8.8229328216	-0.3126444656	-0.6115777257	-0.6307307284	1.5286072805	5.6343570377	0.1093833481	1.3316392824	-0.522305473	-1.5937571203	-1.2876703268	-2.1537556758	0.830312564	-0.8380726516	-0.2357770975	0.338209208	-0.2389220445	-0.1555052817	-0.8393302412	-0.4462739742	Trisomy21
T08	-0.0925028678	-0.4217360612	-0.1407719351	-0.7713713481	-0.902152786	-0.5104370779	-1.3837757148	-0.8374297946	-1.009976955	-2.7259603097	0.5146380728	0.8520969328	1.6543290307	0.1819340912	-0.2436612841	-0.0637935801	0.0780027192	0.4634062047	1.4563280057	-1.1707830511	-1.1184579525	-0.4134374149	0.5644458904	0.7791104859	8.1083669518	0.5505620231	-2.5499764838	-0.0912769741	0.735259323	4.552057182	-1.3468748568	0.5696855848	-0.2440716914	-0.486611197	-1.868998379	-2.1719000834	1.8987955412	-0.4099821195	-0.2120970442	-1.126074227	0.1674350455	-0.0696731267	-0.7462461376	-0.4376207322	Trisomy21
T09	-0.4856671376	-1.0302755646	0.2155725972	-0.7257469721	-0.2037134927	0.8337801037	-0.9698077995	-0.2782302006	0.1579692781	-1.5356238329	0.5942687036	-0.5096986628	1.3678963459	0.9359349458	-1.1791438801	0.1383714004	-0.4683105411	1.7233967092	0.3846113612	-1.8301666803	-0.3183285798	-0.32902654	-0.2412663359	2.5331111717	8.3410159738	0.5876661794	-1.6109480646	-0.9664329083	0.4681993829	3.5909555212	-1.3736937131	-0.3354871707	-0.277439209	-0.5467542981	-1.4040220122	-1.9067997306	1.9739761446	-0.3959021215	-0.0101348845	-0.0422684724	0.127757586	-0.0097111366	-0.7509653782	-0.4462739742	Trisomy21
T10	-2.0758612307	-0.4009839219	1.1006291565	0.4669575032	-0.5503379938	0.6668259199	-0.6074122127	-1.3326998041	-1.2800364598	-0.1330310072	0.8270081718	0.0821398809	1.315216864	-0.013985937	0.0479085796	-0.3411257828	-0.9745437773	0.9903021455	0.383271487	-1.2476904321	-0.4388556374	-1.2263917176	0.8836792055	0.1627505272	7.1221679134	-0.2312080479	-1.1030929325	-0.6650251214	0.2176665871	3.7798898519	-1.1823355735	-0.0254915558	-0.3693938258	-0.3968487512	-0.470186034	-0.372030079	2.3100475795	-0.2368641084	1.7297388271	0.7070640596	-0.1372348494	-0.4205244466	-0.8473858489	-0.4462739742	Trisomy21
T11	-1.0787986148	0.1703597271	-0.6128145807	-0.7386564335	-0.6307768529	1.9313708976	-0.7617150107	0.3663133388	-1.22067165	-1.4843330129	-0.2925650468	0.4842957556	-0.3531888437	-0.8274958378	-1.1291469028	-1.0421666444	-0.6187490233	1.7806862664	0.7979890764	-2.5426225114	-1.9109999373	-0.0879824901	0.9785865101	0.3867337929	8.651327086	0.1342117405	-1.7173681043	-1.0930596259	1.0844867094	6.0752475081	-2.7414770753	-1.2848829599	0.2901967945	0.6921328257	-1.6911153277	-1.1097414407	0.5194339266	0.0833668198	0.0411789314	-0.3708467315	0.1010117217	-0.1202893668	-0.6627338948	-0.4395669235	Trisomy21
T12	1.4588972795	0.3260277508	0.0559992847	0.3142995223	-0.926866093	1.0481337686	-2.0420846395	-1.8988776636	-0.9960673762	-1.7718974557	1.5417925811	0.5622875971	1.8880402341	1.3046902112	0.6463709615	-0.6163360985	-0.6149442809	3.8402168287	1.3226824533	-0.0493526047	-0.4930048434	0.5732977622	2.340116275	0.6312705899	7.1382194528	2.6342963235	-0.9940461418	-0.7949131842	-0.1623298134	1.7512583202	-1.9955394836	-0.4389011002	0.22740627	-0.8307181363	-1.0292707756	-1.040391624	-0.3742573258	-0.3898615933	-0.5960533312	0.5604235621	0.226019066	-0.3264846258	-1.0805905292	-0.418314926	Trisomy21
T13	0.6132038622	-0.6060707729	-0.2981316313	0.0235745067	-0.9994329039	0.4176286952	-2.2762561455	-2.1788842288	0.1584286606	-1.2616471517	-0.2997770481	0.6507682986	0.2225015405	0.6289193284	-0.6506252653	0.537532406	-0.9396557742	1.0173846981	0.7045019978	-0.1624508065	-0.0189742764	-1.7649553371	0.306077173	1.9901864985	6.2382818936	2.9335958418	-0.0003947753	-0.9732242576	0.3761083981	3.6406699841	-1.8481769949	0.0143497375	-0.7081398509	-1.1047286321	-1.134748445	-0.4993784131	0.8526113923	-0.26239006	-0.2121781889	1.2871162918	-0.0041386417	-0.1025115756	-0.6726939841	-0.4227315949	Trisomy21
T15	0.240594783	0.1320714436	0.1935340242	-0.5311051707	-0.896286751	1.7701224221	-0.9152443287	-0.9008790174	-0.652970493	-1.630733933	0.8267495439	0.5069165915	1.1536357472	-0.0601431399	-0.7020105325	-0.9394349778	-0.9148951045	0.9230152755	0.1582988026	-1.5141966128	-1.0523213199	-0.3719103212	0.9199058045	1.4976802888	8.1045165502	0.8126982027	-1.3361843106	-1.0064513663	1.3756371673	2.8862671483	-0.7806699441	-0.7359027008	-0.546974016	-0.4634986398	-0.1805781543	-0.2128747429	0.3243271901	-0.2725468772	-0.1644402133	0.2177380802	0.2278165681	-0.1849505828	-0.8321932514	-0.410690436	Trisomy21
T16	-0.9279343766	-0.087696736	-0.7792576374	-0.5252945449	-0.7455802888	0.8273296816	-1.2007099351	-1.1005876682	-0.7479174683	-1.2886327519	0.574767982	0.4638122719	1.8626605754	-0.7859828451	-1.5709708776	-0.7225516748	0.3275196262	1.3693038011	1.5069381243	-1.2229391567	-1.2669166979	-1.5657932373	1.2488197261	1.071795248	8.144260733	0.8261659811	-0.7687434628	-0.8001602735	0.2543269213	4.3179342815	-0.8844908351	0.6923740946	-0.6998073807	-1.3026919534	-2.0091827127	-0.6700612963	1.1178631318	-0.4212507153	-0.0836738759	0.0873688837	0.4180181663	-0.1797830166	-0.7810375903	-0.4370626529	Trisomy21
T17	-0.4221914061	-0.5874267582	-0.7516114458	-0.3486118548	-0.4874356425	2.0988977174	-0.9424412315	-1.9972175974	-1.4135964021	-2.1214128166	1.2164947251	0.1646762609	0.809540062	-0.0391560713	-0.0382483692	-0.4945069435	-0.6540184904	1.1178697005	0.4003126143	-1.3248212547	-0.0946121754	-1.5571039012	1.8598406719	1.9643289141	7.7259412859	0.9246767713	-0.7603827555	-0.8503129363	-0.0909986441	3.7710525652	0.1612164249	-0.2829526166	-0.4412428706	-0.4731214942	-1.5465788992	-1.3701479048	0.831421323	-0.3158294369	-0.9174605489	0.3019043597	0.2975450117	-0.0986269555	-0.9140590425	-0.4114665209	Trisomy21
T18	-0.2411920521	-0.3774989337	-0.2201178344	-0.4233011672	-0.6045485288	1.8434503417	-2.3893292608	-0.5347381161	-1.5884201565	-2.8368816465	0.2706475143	0.5266959601	0.7747206628	0.5176683986	-0.1232892333	-0.8739245212	-2.4771461234	0.1159761294	0.8625281236	-1.0696475499	-1.2601227872	0.4101345022	-0.112202105	3.3672280481	7.4346918446	0.714068461	-1.3126507559	-1.4779134963	0.3244494474	5.9023319402	-0.695866234	0.3157885274	-0.8119781715	-0.5337458761	-0.8616358156	-1.7705095437	1.2551173898	-0.5085698059	-1.2195265839	0.1297212014	0.3496117744	0.0243318305	-0.9009943413	-0.4267105942	Trisomy21
T19	-0.5967417364	0.4584285605	0.6046163048	0.8596659498	-0.3840619068	1.749895659	-1.1627687045	-1.2829531924	-2.6415894632	-3.1135569075	0.6716504472	1.2437606855	-0.1034365806	1.5187935609	-0.8238115535	0.8713538428	-0.598749947	0.2202199313	0.5362920361	-0.6470048223	-0.259471781	-0.1000431907	0.4043075747	2.7499901809	8.0160234413	0.1153640119	-0.9274288891	-0.9710529046	-0.1241460642	3.0757646987	-1.0016012899	0.1017764771	-0.8279760101	-0.471114728	-0.1142840566	-0.5265195701	1.523590099	-1.164646112	-1.8515214297	-0.511085024	0.464973263	-0.0407131474	-0.7771125418	-0.4462739742	Trisomy21
T20	-0.0714246482	-0.9615913605	-0.3130508182	-0.4319637224	-1.3069286326	1.3811555099	-1.8463956179	-0.8248899057	-1.6415576646	-1.8496339773	1.1021565806	1.4499202362	0.8007045231	0.8137306604	-0.2231366771	-0.7632384616	-0.4598483738	-0.2254926581	0.3995940729	-1.6170316863	-0.158687711	-0.9069354223	0.6073631226	1.6625818539	9.2634026319	0.0202820688	-1.2293346498	-0.7133134671	-0.3586808022	4.3296233345	-1.0405535848	0.4501608244	-1.0764774527	-1.3079686294	-0.0952949524	-1.3238142187	1.8056876597	-0.6003709937	-0.9170796135	-1.0729532348	0.3221637054	0.0079510623	-0.9074194623	-0.4462739742	Trisomy21
T22	0.3495266906	-0.3003776162	-0.0048462865	-0.2975011222	-0.6051577505	3.0932051698	-0.8290468188	-0.5872833542	-1.891501723	-2.7569715384	0.4270508964	1.2481689445	0.2856552995	0.8940900759	-0.5305076674	-0.3956939505	-2.228113995	-0.6200616043	0.331287629	-0.7645779709	-0.3464059128	-0.63780927	0.876323118	1.9611183611	8.5560439695	0.882730249	-1.8988355377	-1.0313762872	-0.6581532186	2.6834228601	-1.6271942001	0.126545621	-0.8385943361	-0.756541251	1.0797671973	-0.2080503485	1.7897595391	0.2227422105	0.2398127556	-0.1745037103	0.0302340371	-0.1392273294	-1.1073507084	-0.4401189291	Trisomy21
T25	-0.3311587987	-0.5576626527	-0.2336796464	-0.7441745219	-0.6823531054	1.5017165785	-1.7950512322	-1.3280826922	-0.7613506395	-2.0565715159	-0.3151782086	0.4714569752	0.369471683	0.7042181224	-1.5580398988	-0.9226395569	-0.5866682662	-0.007476755	0.3517145511	-1.0017796702	-0.2873325464	0.101642209	0.0204354534	2.0299170231	8.0933569897	-0.1994320698	-1.0993169936	-0.9867795206	0.6070029985	3.8544962571	-0.8759602089	0.383375852	-1.2118850635	-0.790073144	-0.7234485408	-0.904274921	0.8865419282	-0.5490232294	-0.4489307292	0.2373597507	0.3892277823	0.105450191	-0.8450053459	-0.4434033613	Trisomy21
T26	-1.0822413344	-0.6522807865	0.1945636646	-0.4985205289	-0.9229780309	0.4415913499	-1.5786005402	-0.8860095352	-0.99426291	-2.0288844762	-0.6605029241	0.8638227892	1.1059608511	-0.0089697488	-1.5511790116	-1.1634037303	-0.4408062438	-0.1120603845	0.4837094587	0.2221243862	-0.1417399117	-0.7758310737	0.6169251828	1.2202750106	6.6319510107	-0.6850683343	-1.0212320652	-1.6516481209	-0.3158075659	4.3638446886	-0.5110068738	0.7003279155	-0.9115235052	0.0596345476	-1.2134977846	-0.9129300293	1.0147831261	-0.6352004749	-0.1342562996	-0.1145846828	0.3667151034	0.1131349696	-0.8671258111	-0.4410749684	Trisomy21
T27	-0.8717923226	-0.5104463202	0.5110776146	0.0749052449	-0.2768335482	0.7428893987	-1.302902776	-2.0077999916	-1.6738299451	-2.8331210683	0.0609495901	0.6186909971	3.6962879339	-0.6119110308	-2.1568001081	0.1804319214	0.7867443386	0.5486870099	0.4397941126	-0.5028995638	-0.2955153822	-0.5315261929	1.1429717556	1.6093417621	7.8766672444	-0.030598161	-1.8666725624	-1.652491704	0.7782707308	2.9988322192	0.1799698732	1.3982447217	-1.6368631314	-1.1282118732	0.2644677459	0.4991629179	0.5694452627	-0.9062705944	-1.2345564236	-1.0251268065	0.5140886008	0.0526870602	-0.775149015	-0.4462739742	Trisomy21
T28	-0.0424856395	-0.1898923686	0.4889119672	-0.1599658708	-0.4052678222	2.0069536072	-1.4844237733	-0.5788461073	-1.7532313198	-3.0726496879	0.0488412812	-0.0970164196	0.9081555595	-0.1291649896	-1.2641053884	-0.6289385699	0.4054164743	-0.2450511404	0.6883116844	-1.0272202793	-0.0694692601	-0.0732120817	1.052260933	1.875182418	7.9581726926	-0.6289210203	-1.7387128481	-1.6924619567	0.4215978142	4.3440866614	-0.3818343774	0.0840409195	-0.6277796128	-0.6627831478	-0.3402360224	-0.9192580341	1.9828162395	-0.2947110764	-1.4368379905	-1.2536120741	0.2106839931	-0.0597366089	-0.8013412738	-0.4409737349	Trisomy21
T29	-1.1204438475	-0.1720801038	0.4798190992	-0.8113951468	-0.7867042134	0.3514733208	-1.3084397986	-1.7928611351	-1.1850950169	-1.854003635	1.2790937887	1.0016454535	0.8905168537	0.4355672033	-0.5589752332	-0.5802984236	-0.186211487	0.395646798	-0.3625989823	-0.1795640464	0.3160259481	-1.4627982652	0.8132265275	1.2918301675	8.9495691218	0.3949281137	-0.9430757875	-1.0526641103	-0.161388666	2.7247372367	-0.2357538938	0.5147766916	-0.2444500273	-0.5450695157	-0.1953931629	0.1334471482	0.7091323149	-0.461542446	-0.8895563322	-0.39236284	0.2642829598	-0.1933655238	-0.9556878926	-0.4386818768	Trisomy21
T31	-0.2935761919	-0.4739056704	-0.2136846762	-0.6290561155	-1.5583801064	-1.9442803409	-1.0582125643	-1.6266744931	-1.6904426798	-2.3483497606	-0.3428393133	-0.4673575306	0.6446028959	-0.5109544705	-1.294275411	-0.4901522883	-1.0909276018	-1.7727296168	-0.7639484172	0.2233744683	-0.5076552613	0.9485965946	-0.7873123214	1.9223413938	8.9777137612	0.0431089715	-0.1496576603	0.2296260569	-0.6672575142	4.6658180368	-1.96227668	0.5504487017	-1.1089661246	-1.101499843	-0.6948256189	-0.1452027188	-0.100960553	-0.7094248073	0.0963533599	-0.2474515983	0.5708450172	0.1703593691	-0.8491098785	-0.4462739742	Trisomy21
T32	0.0860937836	-0.1558180161	-1.574696195	-0.0966669088	-0.7173983214	-0.9375776147	-0.1390835297	-2.4433597224	-1.0112848081	-2.034248407	-0.1508507795	-0.965509158	-0.5774542711	0.3226771087	-0.6743366076	-0.2796127569	-2.8183262729	0.2929245537	-0.3241457821	1.3567582252	-0.6929951758	-1.666109377	-0.8498541133	1.7034189174	9.6643737356	-0.3879340622	0.6080385677	-0.3419031953	0.5530716081	4.5545939264	-1.8433110499	-0.4548794331	-0.9291647072	-0.1305493267	-1.0356944064	-1.1669997162	0.4258929122	-0.6608447099	0.0007084155	-0.4490416396	0.3282827407	0.0692697445	-0.4579759382	-0.4257038175	Trisomy21
T33	-0.0517370462	0.3698988451	0.0094591429	-0.4552520618	-1.0245361792	-0.0061488505	-0.6818858024	-1.6933256409	-1.6541262805	-2.4712362573	-0.9761683315	-0.4768936296	-1.3767768774	0.4925518464	-1.6975374391	-1.0208357674	-0.9732156121	0.5288693069	-0.6711283662	-1.3359679877	-0.0993945936	-0.9505557762	-1.034777165	0.5303755718	8.4067183926	-1.0085568	-0.557758107	-0.8275869381	0.8804395513	6.4505730557	-0.4397073466	-0.4405544744	-0.5749320297	0.0964931687	-2.2073230939	-1.9233576918	1.0264378756	-0.6484440789	0.4080123335	0.5770644823	0.0289620563	0.0425377928	-0.370465804	-0.4462739742	Trisomy21
T34	-0.3916122169	-0.8570037071	-0.2824158201	-0.3338266646	-0.3569130268	0.935680312	-0.4693579315	0.7689178159	-0.0889782131	-2.455642454	-0.8965305667	0.6996747772	-0.7893956064	-0.3707665085	-2.1065847684	-0.9104531165	-1.1149002444	-0.2753811803	-0.6158480018	-0.7178357483	-0.7733338512	-0.7935409004	-0.7834604128	1.7844343426	9.9740549416	0.5303393257	-1.1365652194	-0.7443751991	0.5109643805	5.893514193	-0.0416377838	-0.065307117	-0.7653054223	-0.6769458859	-0.4580862239	-0.7753744663	-0.6243798076	-1.0180834791	-1.2584269031	-1.0464556283	0.3087648249	-0.121453729	-0.714118793	-0.4345578526	Trisomy21
T35	-0.1780074912	-1.475477906	-0.672042517	0.1267532969	-1.8639940821	-1.336114977	-0.3094243782	-0.2619214793	-1.0932053734	-1.5115218811	0.7215609185	0.31654745	-0.416761222	-0.538768215	0.1006922975	-0.1275204969	-1.0579689899	0.1165353833	-0.1258828925	0.2038839282	0.1289648558	-0.2391005388	-0.4974357445	1.5419203145	7.2547530084	0.0738545618	-1.7221802307	-1.0914178709	-0.6042046122	5.4166044384	-1.0929970104	-0.9592592701	-1.2786343215	-0.7968186367	0.0116931263	-0.3133573973	0.2015764576	-0.0321654103	-0.985398498	-0.785400254	0.336499376	0.096464428	-0.6405378815	-0.4399683913	Trisomy21
T37	-0.2764161891	-0.5387249894	-1.2493657986	-0.2490582221	-1.7630563617	-2.3487324863	-1.2019472514	-2.2258351912	0.181091401	0.2815419645	-0.0613244569	0.8896375162	0.1343606472	1.1983214899	-0.670377831	0.165965879	-0.7794553136	0.3717589147	-0.2656161051	-0.6002068256	-0.1942114647	0.4942346681	-0.5256227062	1.4630079619	8.7295875109	-0.6337474523	-0.8229722199	-0.5216250625	-0.7034419205	3.593347901	-1.6124258968	0.2555386648	-0.9745096127	-0.4993767278	-0.0734180243	-0.0804245934	-0.0022323674	-0.697038497	-0.7489880604	-0.0636280484	0.2583935625	0.0920251794	-0.6424526473	-0.4405512484	Trisomy21
T38	0.2462110467	-0.3402360121	-0.7718598686	-0.9409824874	-0.6431030131	-0.548682487	-1.1980827508	-0.0098450658	-2.3355075906	-2.8928624345	0.6079127322	0.8580908194	0.2230022823	1.017955539	-1.1279418099	-0.83641869	-0.9707859827	-0.9107567236	0.036090553	-0.7790490702	-0.0400304522	-1.1866250672	-0.3270342966	0.8632579173	7.3733796777	-0.8542326941	-1.2062238048	-0.1395337745	-0.9613626165	5.5619081797	-2.0736477191	0.5161332272	-0.603044043	-1.1138625459	0.5277976138	0.9285314977	0.6941731853	-0.6093515582	-0.4081920408	-0.1982318057	0.0766426211	-0.0999003759	-0.5032241961	-0.4462739742	Trisomy21
T39	0.9559568778	0.7238711942	-1.2527658451	-0.9162652457	-0.749763792	0.051455397	-0.0494309108	-0.3866603788	-1.5446247737	-2.6729874732	0.826224191	-0.4210125494	-0.8401845754	0.472078185	0.9903206186	1.0046702352	-1.7529910194	0.1725456914	-0.2432166594	-0.3831669289	-0.5924217715	-0.8092653533	-0.6915628606	1.5134845218	8.1461931719	1.2776438147	-1.5698394329	-1.1171752089	-0.484051551	4.3517599933	-0.6867270805	-0.0280555549	0.40814514	0.0681952629	-0.2904400651	-0.6462865555	0.2954063945	-1.0453634767	-0.6159121605	0.2067596476	0.2101141333	-0.1704689827	-0.8490169429	-0.4462739742	Trisomy21
T40	0.1340904103	-0.8566134088	-1.5845435392	0.2991399427	-1.0610468281	-1.905846524	0.2113810595	0.7232153664	-1.9335679261	-1.1780414812	-0.9027409467	0.3394632659	0.0614772213	0.1596830251	-0.0200790248	-0.8913912919	-0.0401313718	-0.5781509563	0.3075829228	-0.5362158175	-0.0670268523	-1.0809064813	-1.1761170914	2.408506082	6.9456536646	-1.1005680879	-0.150469542	-1.2968200174	0.7816916857	4.7680803669	0.2591543746	-0.430202213	-0.150498727	-1.6040901395	-1.9346974495	-0.8086389316	-1.1146288304	-1.0376442091	-0.2855856224	-0.3338131062	0.5592449719	0.2671333366	-0.6255972101	-0.4239402955	Trisomy21
T41	0.6756419212	0.1182085379	-0.0208411447	-0.3169869153	-0.9264845013	-0.3250174268	-1.3879741042	-1.5299037901	-1.6171775096	-0.9800742093	0.0469582106	0.1211793445	0.2834122576	-0.5109679968	-0.8269561385	-0.1625378318	-1.6358717654	-0.3994783859	-0.3642775581	-0.3540246158	-0.3693359057	-0.2259994178	-0.6782790079	2.4789717809	7.8109229796	-0.3423237311	-0.4672812194	-0.118043457	-0.6070481418	3.705104673	-1.0674089724	-0.2130431358	-0.6252043754	-0.2437301494	0.4001407975	-0.445255347	-0.789656744	-0.6776481413	-1.2667427939	-0.9824312072	0.4774983675	0.0536197473	-0.7053232793	-0.4397045348	Trisomy21
T42	0.2276659276	-0.7396008199	-0.4569610661	0.1280572703	-1.8083074616	-2.343205959	0.0638621346	-1.865750658	-0.7944798601	-1.70153977	1.0012933058	1.5567462699	-1.4145444261	1.0544076091	-0.8050515573	0.1326229089	-2.7086609265	-1.797874939	-0.9923792121	-0.1493526048	-0.615659302	1.3253530845	0.2555035666	0.2806395714	9.3869646202	0.1506108662	0.6446554339	-0.3216623573	-1.8303574791	3.9254829205	-1.9341240518	-0.2783676329	-0.2152596991	0.1216919035	0.0919227767	-1.1443203099	-0.0613946303	-1.0889680975	-0.8612441221	-1.0814878352	0.4704967615	0.2081105377	-0.6140062127	-0.4462739742	Trisomy21
T43	-0.3177269535	-0.3410266369	-0.8702357464	0.062940296	-1.5415640103	-2.4603881209	0.438715447	-1.6821953739	-0.1558243336	-1.2635380775	0.0879724366	0.9466859792	-1.1394819384	1.1734139192	-0.2647614533	-0.3791560055	-2.9087872712	-1.2290796733	-1.2999710176	0.3559917863	-0.9395644191	1.5065797576	-0.3182637535	0.2120279126	8.9898420588	-0.5748977761	-0.1825113719	0.0464283379	-1.5621744307	2.1884871803	-1.1250011589	0.5779735971	0.0661101053	-0.1024679124	0.3329822494	-0.1193854816	-0.8159482443	-0.7719978574	-0.3148200345	-0.2383843416	0.3827129886	0.1585865782	-0.4980826323	-0.4462739742	Trisomy21
T44	-0.6397658923	-0.7129305075	-0.7228117558	-0.7612705992	-1.0113299787	-1.2923727101	0.6503071225	-1.0589992345	-0.1266733166	-1.6953545001	0.8458523118	0.8821682643	-0.9663545106	2.217526889	-0.6571081423	0.7178897085	-1.7537523848	-1.5960405119	-0.7821540388	-0.2679075722	-0.5260412331	0.4918243963	0.1954923477	1.8868678275	8.3827320549	-0.1266950162	-0.1076577125	-0.4515625664	-0.7994759239	2.8705113786	-1.4185783077	0.1460850281	-0.3581579597	-0.3864094362	0.7441987405	-1.4115273098	-0.8767966978	-0.9612844335	-0.7426996985	-0.126011759	0.2875882876	0.2902298019	-0.7047054601	-0.4398952437	Trisomy21
T45	-0.3028365541	-0.3057063265	0.3830240592	-1.0555163656	-1.5428621221	-1.4300953851	0.1685846829	-0.6332202221	-0.9143457038	-1.9459777632	0.4384675893	1.4516118052	-0.9324411433	1.9065101688	0.5783485399	0.2545587099	-1.5763246276	-1.5732697889	-0.0482504411	-0.4287088074	-1.0466764422	0.2203514643	-0.0149059739	1.3102674623	7.9568603802	-0.7104690316	-0.0098010725	-0.0497289563	-1.5884836151	3.2766342953	-1.829368306	0.507220081	-1.3563926008	-0.078512685	0.427742894	-1.1773788314	-0.4412328613	-0.6708222683	0.0335090998	-0.1091076147	0.5463035134	0.0691895272	-0.7449065288	-0.4462739742	Trisomy21
T47	-0.5038796522	-0.0477558762	-0.3321013394	-1.0542667505	-0.9646265591	0.0821306177	-0.6811380985	-0.4736001052	-1.2688729919	-1.9312668124	0.3092641489	0.5349348997	0.2475772003	0.9788639198	-0.7996653893	-0.7177486971	-1.088193742	-0.9112682316	0.1198854558	-1.0952152056	-0.3877254588	-0.5034690987	0.4158049985	1.888527266	8.5457771573	0.9877586885	-1.3331357827	-0.9291218904	-0.9666761738	3.9657061287	-1.0594633961	0.380039802	-0.1989176383	-0.3336843361	-0.493698734	-0.9456045636	-0.1361293191	-0.6149360944	-0.6473003451	-0.6482983106	0.3527835179	0.1271555532	-0.6683808416	-0.4368115388	Trisomy21
